DateTime,Entries,UniqueIPs
1532329234,2685,2685
1532336433,2703,2703
1532343634,2703,2703
1532351434,2664,2664
1532360433,2551,2551
1532369451,2589,2589
1532376046,2607,2607
1532383233,2643,2643
1532391033,2632,2632
1532397033,2684,2684
1532404833,2773,2773
1532412034,2734,2734
1532419833,2704,2704
1532429436,2539,2539
1532437833,2593,2593
1532446834,2671,2671
1532452847,2764,2764
1532461235,2758,2758
1532467234,2800,2800
1532474433,2850,2850
1532481633,2862,2862
1532489433,2777,2777
1532496033,2773,2773
1532504433,2744,2744
1532512233,2705,2705
1532520034,2740,2740
1532527833,2685,2685
1532535646,2685,2685
1532542834,2804,2804
1532549448,2932,2932
1532554854,2971,2971
1532562633,2951,2951
1532570434,2917,2917
1532577633,2955,2955
1532587233,2859,2859
1532596233,2797,2797
1532605834,2696,2696
1532614833,2685,2685
1532623233,2728,2728
1532632244,2796,2796
1532638838,2724,2724
1532646034,2789,2789
1532653233,2747,2747
1532661633,2693,2693
1532670033,2710,2710
1532676033,2770,2770
1532683233,2786,2786
1532691034,2794,2794
1532698833,2656,2656
1532707233,2669,2669
1532715053,2655,2655
1532721683,2715,2715
1532728845,2758,2758
1532736033,2758,2758
1532743233,2800,2800
1532750434,2775,2775
1532757033,2757,2757
1532764233,2801,2801
1532772034,2839,2839
1532779233,2825,2825
1532787061,2805,2805
1532794233,2871,2871
1532802033,2972,2972
1532809835,2928,2928
1532816434,2872,2872
1532823633,2856,2856
1532831433,2859,2859
1532838633,2852,2852
1532845234,2909,2909
1532853633,2801,2801
1532859633,2835,2835
1532866833,2914,2914
1532875233,2850,2850
1532881833,2823,2823
1532888434,2912,2912
1532895634,2927,2927
1532902836,2933,2933
1532910033,2906,2906
1532917833,2930,2930
1532924453,2956,2956
1532932234,2913,2913
1532939454,2887,2887
1532946649,2859,2859
1532953838,2887,2887
1532961061,2925,2925
1532967633,2864,2864
1532976035,2961,2961
1532982634,2954,2954
1532989233,2979,2979
1532997034,2957,2957
1533004235,2910,2910
1533011433,2902,2902
1533018033,2973,2973
1533026434,2907,2907
1533034833,2928,2928
1533042034,2929,2929
1533049832,2884,2884
1533057633,2902,2902
1533065435,2894,2894
1533072037,2885,2885
1533079232,2891,2891
1533087033,2835,2835
1533094832,2795,2795
1533103234,2807,2807
1533111034,2749,2749
1533120033,2661,2661
1533127832,2746,2746
1533135633,2701,2701
1533142233,2694,2694
1533150034,2692,2692
1533156632,2665,2665
1533164432,2671,2671
1533171632,2604,2604
1533179433,2571,2571
1533187832,2527,2527
1533195034,2501,2501
1533202834,2460,2460
1533209433,2452,2452
1533216632,2470,2470
1533223232,2436,2436
1533230432,2494,2494
1533239432,2377,2377
1533247833,2341,2341
1533256832,2332,2332
1533264632,2194,2194
1533273632,2139,2139
1533282031,2084,2084
1533291032,2058,2058
1533298831,2116,2116
1533306632,2090,2090
1533313832,2084,2084
1533320431,2079,2079
1533327632,2140,2140
1533334834,2091,2091
1533342031,2106,2106
1533349233,2070,2070
1533355831,2007,2007
1533364232,1942,1942
1533370231,1936,1936
1533377431,1985,1985
1533382233,2024,2024
1533388831,2000,2000
1533396632,1895,1895
1533402057,1978,1978
1533408031,2002,2002
1533414632,2056,2056
1533420032,2087,2087
1533425434,2207,2207
1533431432,2295,2295
1533439831,2285,2285
1533446431,2293,2293
1533453631,2269,2269
1533461432,2216,2216
1533468032,2302,2302
1533475232,2384,2384
1533482432,2394,2394
1533489031,2404,2404
1533496232,2479,2479
1533501633,2465,2465
1533508846,2494,2494
1533515432,2522,2522
1533520833,2551,2551
1533526232,2523,2523
1533531632,2578,2578
1533538232,2532,2532
1533544832,2491,2491
1533550831,2422,2422
1533558032,2446,2446
1533565231,2454,2454
1533572433,2383,2383
1533579032,2412,2412
1533586233,2404,2404
1533593432,2467,2467
1533600632,2490,2490
1533607832,2577,2577
1533615632,2503,2503
1533622236,2530,2530
1533630032,2536,2536
1533637232,2509,2509
1533644432,2462,2462
1533651631,2410,2410
1533658232,2426,2426
1533665432,2508,2508
1533672632,2476,2476
1533679232,2516,2516
1533684631,2553,2553
1533690632,2577,2577
1533699031,2502,2502
1533705037,2514,2514
1533713432,2505,2505
1533720052,2490,2490
1533727232,2559,2559
1533734431,2542,2542
1533741631,2441,2441
1533749432,2418,2418
1533756632,2382,2382
1533763832,2381,2381
1533770432,2422,2422
1533778232,2341,2341
1533784832,2361,2361
1533792031,2343,2343
1533799232,2321,2321
1533805832,2404,2404
1533813033,2491,2491
1533819031,2481,2481
1533826231,2422,2422
1533833431,2381,2381
1533840631,2262,2262
1533847235,2370,2370
1533854432,2419,2419
1533862231,2331,2331
1533870033,2284,2284
1533876631,2293,2293
1533883832,2345,2345
1533891631,2308,2308
1533898232,2296,2296
1533905430,2296,2296
1533912632,2272,2272
1533920447,2141,2141
1533927042,2109,2109
1533935450,1992,1992
1533940831,2047,2047
1533948633,2100,2100
1533955231,2037,2037
1533962431,2121,2121
1533970231,2026,2026
1533977435,1992,1992
1533984031,1972,1972
1533990634,2037,2037
1533998431,1922,1922
1534004431,1931,1931
1534011031,1948,1948
1534018231,1945,1945
1534025432,1977,1977
1534032630,1986,1986
1534039832,1998,1998
1534045231,2064,2064
1534050631,2052,2052
1534056631,2164,2164
1534062632,2335,2335
1534068032,2361,2361
1534073453,2370,2370
1534079432,2320,2320
1534084831,2282,2282
1534092032,2307,2307
1534100432,2279,2279
1534107033,2338,2338
1534113632,2358,2358
1534120832,2376,2376
1534129832,2359,2359
1534135832,2309,2309
1534142437,2307,2307
1534149034,2433,2433
1534154432,2540,2540
1534160432,2530,2530
1534167633,2500,2500
1534174832,2492,2492
1534183832,2263,2263
1534190432,2263,2263
1534197033,2273,2273
1534203631,2350,2350
1534208432,2353,2353
1534215032,2255,2255
1534222231,2318,2318
1534229433,2290,2290
1534234831,2401,2401
1534240832,2472,2472
1534246235,2444,2444
1534252252,2379,2379
1534259433,2360,2360
1534268476,2216,2216
1534276231,2187,2187
1534283443,2109,2109
1534290651,2124,2124
1534298450,2087,2087
1534305632,2144,2144
1534311631,2189,2189
1534319432,2198,2198
1534326631,2185,2185
1534333232,2189,2189
1534337432,2351,2351
1534351833,2126,2126
1534359632,1949,1949
1534366232,1967,1967
1534373433,1981,1981
1534380631,1962,1962
1534387831,1954,1954
1534394431,1964,1964
1534401632,2014,2014
1534405831,2185,2185
1534412434,2238,2238
1534417832,2209,2209
1534422631,2205,2205
1534428632,2272,2272
1534437632,2120,2120
1534446032,2004,2004
1534452635,1986,1986
1534459832,2016,2016
1534466446,2005,2005
1534473631,2074,2074
1534479633,2038,2038
1534486231,2097,2097
1534491632,2064,2064
1534497631,2194,2194
1534504233,2217,2217
1534509032,2224,2224
1534514432,2249,2249
1534521632,2053,2053
1534528238,2031,2031
1534534865,2090,2090
1534542633,2106,2106
1534549231,2033,2033
1534556432,2002,2002
1534563633,2075,2075
1534570832,2094,2094
1534578032,2049,2049
1534585231,2088,2088
1534592452,2058,2058
1534599654,2045,2045
1534606831,2051,2051
1534614032,2079,2079
1534621232,2046,2046
1534627832,2030,2030
1534633232,2090,2090
1534638631,2119,2119
1534644631,2126,2126
1534650032,2079,2079
1534657231,2070,2070
1534663832,2074,2074
1534669232,2103,2103
1534675832,2093,2093
1534683032,2001,2001
1534690232,1962,1962
1534695632,2029,2029
1534702252,2093,2093
1534708247,2001,2001
1534714832,2067,2067
1534722032,2068,2068
1534729232,2067,2067
1534737032,2039,2039
1534743632,2039,2039
1534750231,2077,2077
1534756232,2070,2070
1534763432,1976,1976
1534769432,2044,2044
1534775432,2143,2143
1534782032,2079,2079
1534789231,1992,1992
1534795844,2016,2016
1534802432,2002,2002
1534807832,2083,2083
1534813831,2039,2039
1534821632,1975,1975
1534828833,1948,1948
1534835431,1942,1942
1534843232,1892,1892
1534849833,1954,1954
1534857032,1961,1961
1534861832,1972,1972
1534867924,1995,1995
1534872632,2041,2041
1534879233,1974,1974
1534885832,1912,1912
1534892432,1922,1922
1534897833,1974,1974
1534903231,1929,1929
1534908632,1878,1878
1534913432,1945,1945
1534918832,2035,2035
1534924232,2080,2080
1534930232,2037,2037
1534934432,2113,2113
1534940432,2211,2211
1534945833,2190,2190
1534951233,2237,2237
1534956632,2317,2317
1534965038,2071,2071
1534972834,2028,2028
1534979452,2006,2006
1534987312,1964,1964
1534994433,1971,1971
1535001632,1986,1986
1535007633,2093,2093
1535013033,2191,2191
1535019033,2148,2148
1535026832,2046,2046
1535033433,2042,2042
1535041232,1916,1916
1535049632,1725,1725
1535055632,1698,1698
1535062832,1655,1655
1535068232,1850,1850
1535075435,1790,1790
1535083232,1559,1559
1535089231,1587,1587
1535097031,1536,1536
1535103632,1560,1560
