DateTime,Entries,UniqueIPs
1434197235,2398,84230960
1434283635,2398,84230960
1434283635,2398,84230960
1434456432,2393,84229168
1434542832,2394,84228400
1434629234,2397,84229680
1434629234,2397,84229680
1434629234,2397,84229680
1434715632,2394,84228656
1434802034,2395,84229424
1435061229,2395,84224304
1435147643,2394,84224048
1435406833,2388,84218928
1435752441,2390,84219696
1435838844,2389,84218672
1436011633,2390,84219696
1436357235,2391,84219952
1436443632,2392,84220976
1436530034,2390,84220464
1436875649,2391,84221488
1437134840,2392,84222512
1437221233,2393,84223536
1437653234,2394,84224560
1437739633,2395,84225584
1438085235,2396,84226608
1438171637,2400,84230704
1438344436,2401,84231728
1438690037,2404,84232752
1438776441,2405,84233776
1439122061,2375,79449136
1439122061,2375,79449136
1439122061,2375,79449136
1439122061,2375,79449136
1439208442,2375,79449136
1439381237,2378,79452208
1439467637,2379,79453232
1439554041,2380,79454256
1439640436,2380,79454256
1439899637,2381,79455280
1440158843,2384,79457840
1440158843,2384,79457840
1440504438,2385,79458864
1440590838,2386,79459888
1440590838,2386,79459888
1440763639,2386,79459632
1441368438,2387,79460656
1441800441,2390,79463728
1441886837,2391,79465776
1442059634,2392,79467824
1442318841,2393,79469872
1442405238,2394,79470896
1442491638,2397,79471920
1443096438,2402,79477040
1443528434,2403,79478064
1443787639,2404,79479088
1443874040,2406,79482160
1444478841,2407,79483184
1444910840,2408,79484208
1444997241,2409,79500592
1445515642,2410,79501616
1445602049,2411,79502640
1445947632,2413,79504688
1446034032,2414,79505712
1446120433,2415,79506736
1446552431,2416,79523120
1446638836,2417,79524144
1446725237,2421,79529264
1446811634,2424,79528752
1446898033,2425,79529776
1447848451,2429,79533872
1448021233,2430,79534896
1448366834,2431,79535920
1448626036,2432,79536944
1448712434,2433,79537968
1448971638,2434,79538992
1449144435,2435,79540016
1449662831,2436,79541040
1450181232,2437,79543088
1450267629,2438,79545136
1450354031,2439,79546160
1450440431,2443,79549232
1450786029,2445,79551280
1450872443,2447,79553328
1451390827,2446,79552304
1451477227,2447,79553328
1451563632,2448,79554352
1452082027,2450,79556400
1452341228,2451,79557424
1452773231,2452,79558448
1452946030,2453,79558448
1453118828,2453,79558448
1453205231,2453,79558448
1453291628,2453,79558448
1453378031,2453,79558448
1453464429,2454,79559472
1453550832,2455,79560496
1453637228,2455,79560496
1453723630,2455,79560496
1453810031,2456,79561520
1453896430,2458,79563568
1453982829,2459,79564592
1454674027,2460,79565616
1455019629,2462,79567664
1455192428,2463,79567920
1455278830,2465,79569968
1455365229,2466,79570992
1455624426,2467,79636528
1455710828,2468,79637552
1455797229,2469,79703088
1455883630,2470,79704112
1456229231,2473,79714352
1456315628,2474,79715376
1456402028,2475,79716400
1456488429,2477,79718448
1456834083,2478,79719472
1456920439,2479,79720496
1457006830,2481,79722544
1457093231,2482,79723568
1457438832,2483,79724592
1457611629,2484,79725616
1457698029,2485,79726640
1458043630,2486,79727152
1458216431,2487,79792688
1458302829,2489,79794736
1458389234,2491,79796784
1458821236,2492,79797808
1458907632,2493,79798832
1459339631,2494,79799856
1459426055,2496,79801904
1459512429,2497,79802928
1459944428,2498,79803952
1460030829,2500,79806000
1460117231,2501,79807024
1460462834,2502,79808048
1460549236,2503,79809072
1460635632,2504,79810096
1460808431,2507,79877680
1461067631,2512,79883056
1461240435,2513,79884080
1461326831,2514,79885104
1461413232,2517,79888176
1461758834,2518,79889200
1461931631,2519,79890224
1462277235,2520,79891248
1462363631,2521,79892272
1462450032,2523,79894320
1462622834,2525,79896368
1462882035,2527,79898416
1463054832,2529,79899696
1463141233,2532,79902768
1463227635,2533,79903792
1463573235,2534,79904816
1463659633,2536,79906096
1463746032,2537,79907120
1463832434,2539,79909168
1464091638,2541,79911216
1464264438,2542,79912240
1464350836,2543,79913264
1464437235,2544,79914288
1464696436,2545,79916336
1464782834,2546,79917360
1464869232,2547,79918384
1465301234,2548,79919408
1465474034,2549,79920432
1465560433,2553,79989040
1465906032,2554,79990064
1465992446,2555,79991088
1466078843,2557,79993136
1466510835,2556,79992112
1467288434,2555,79990064
1467374840,2558,79993136
1467461235,2558,79993904
1467806835,2559,79994928
1468066030,2560,79995952
1468325233,2560,79995952
1468498033,2562,79999024
1469016434,2563,80000048
1469102833,2564,80001072
1469621235,2565,80002096
1469707634,2566,80003120
1470139636,2567,80004144
1470485235,2569,80005424
1470830837,2573,80009520
1470917236,2574,80013616
1471090038,2577,80016688
1471349237,2579,80018736
1471435638,2580,80020784
1471522039,2583,80023856
1471694834,2584,80024880
1471954040,2585,80025904
1472040439,2587,80027952
1472126837,2589,80030000
1472299636,2590,80031024
1472645239,2591,80096560
1472731636,2590,80094512
1472818056,2591,80095536
1472904439,2592,80095792
1473163653,2593,80096816
1473250034,2594,80097840
1473422845,2595,80098864
1473768435,2596,80099888
1473941240,2599,80102192
1474027640,2601,80104240
1474459641,2604,80107312
1474632440,2606,80109360
1474718845,2607,80110384
1475064435,2608,80111408
1475237240,2610,80145200
1475323638,2611,80146480
1475582841,2612,80162864
1475669243,2614,80164912
1475755664,2616,80166960
1475842040,2617,80167984
1475928440,2619,80201776
1476187663,2620,80202800
1476360441,2621,80203824
1476446847,2623,80205872
1476792441,2625,80207920
1476878841,2626,80208944
1476965245,2626,80205872
1477051635,2627,80206896
1477138039,2629,80208944
1477742836,2630,80209968
1478002040,2631,80210992
