DateTime,Entries,UniqueIPs
1434197235,2029,9485568
1434283635,2029,9485568
1434283635,2029,9485568
1434456432,2028,9484032
1434542832,2029,9485056
1434629234,2027,9453824
1434629234,2027,9453824
1434629234,2027,9453824
1434715632,2026,9453568
1434802034,2040,9452544
1435147643,2041,9453568
1435406833,2041,9454336
1435838844,2044,9446144
1435925231,2044,9445632
1436443632,2045,9379072
1436530034,2046,9380096
1436616437,2045,9371904
1436875649,2047,9366784
1436962042,2047,9356544
1437221233,2049,9358592
1437480442,2047,9328896
1437566840,2056,9321216
1437653234,2055,9320192
1437826038,2054,9319168
1438085235,2053,9309952
1438171637,2054,9308928
1439035640,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439208442,2060,9306880
1439294839,2062,9306624
1439381237,2060,9301504
1439467637,2060,9285120
1439554041,2072,9281280
1439640436,2072,9281280
1439899637,2074,9277184
1440158843,2088,9274624
1440158843,2088,9274624
1440245241,2089,9275648
1440504438,2090,9276672
1440590838,2090,9276672
1440677238,2089,9252096
1440763639,2090,9253120
1440850035,2091,9254144
1441109235,2090,9250560
1441195631,2093,9250304
1441368438,2100,9248768
1441454835,2101,9249792
1441714034,2098,9243648
1441886837,2099,9243904
1442405238,2098,9243392
1442491638,2099,9242368
1443096438,2099,9140224
1443182843,2100,9141248
1443528434,2099,9140992
1443701235,2104,9139456
1443874040,2108,9139200
1444133238,2126,9127936
1444219636,2128,9119744
1444392440,2129,9120768
1444738037,2135,9119232
1444824441,2140,9114880
1445083643,2143,9114368
1445602049,2144,9115392
1446034032,2145,9110272
1446120433,2146,9111296
1446206833,2151,9112576
1446811634,2152,9113600
1446898033,2153,9112576
1447157234,2154,9113600
1447243636,2157,9110528
1447503066,2161,9114880
1447848451,2160,9111808
1448366834,2162,9111552
1448539639,2163,9112576
1448626036,2162,9111552
1448712434,2162,9103360
1448971638,2163,9104384
1449058037,2164,9102336
1449144435,2167,9101312
1449576434,2173,9097984
1449922031,2176,9087232
1450181232,2176,9086720
1450354031,2175,9086208
1450440431,2178,9084672
1450526828,2177,9082624
1450872443,2178,9081600
1450958828,2186,9081088
1451045230,2185,9076992
1451390827,2186,9076480
1451477227,2186,9075456
1451563632,2187,9076480
1451995628,2187,9075456
1452600431,2188,9068288
1452946030,2187,9067776
1453118828,2187,9067776
1453205231,2192,9058304
1453291628,2192,9058304
1453378031,2193,9059328
1453464429,2193,9059328
1453550832,2193,9059328
1453637228,2193,9059328
1453723630,2193,9059328
1453810031,2201,9058560
1453896430,2202,9059584
1453982829,2202,9058816
1454414837,2201,9039104
1454587633,2203,9037056
1454674027,2202,9036544
1454846830,2203,9036544
1455019629,2202,9035520
1455106028,2203,9035264
1455192428,2202,9031168
1455278830,2202,9031424
1455365229,2202,9011968
1455624426,2206,9011456
1455710828,2204,9002496
1455797229,2205,9003520
1455970028,2205,9002240
1456315628,2205,9001728
1456402028,2204,8997632
1456920439,2204,8997376
1457006830,2202,8977664
1457179633,2201,8977408
1457525231,2200,8974848
