DateTime,Entries,UniqueIPs
1434197235,1202,17726720
1434283635,1202,17726720
1434283635,1202,17726720
1434456432,1203,17727744
1434629234,1203,17727744
1434629234,1203,17727744
1435061229,1204,17728768
1435147643,1205,17729024
1435234037,1206,17730048
1435406833,1209,17732352
1435838844,1209,17730304
1435925231,1210,17731328
1436270833,1211,17732352
1436443632,1214,17734400
1436616437,1215,17735424
1437048434,1216,17735680
1438085235,1218,17744128
1438171637,1219,17745152
1439122061,1219,17745152
1439122061,1219,17745152
1439122061,1219,17745152
1439208442,1219,17745152
1439381237,1220,17745408
1439554041,1221,17746432
1439640436,1221,17746432
1440158843,1222,17746944
1440158843,1222,17746944
1440590838,1223,17747968
1440590838,1223,17747968
1440677238,1226,17749760
1440763639,1228,17751040
1440850035,1229,17752064
1441195631,1231,17753344
1441282034,1230,17752320
1441368438,1231,17752832
1441454835,1234,17754624
1441714034,1238,17757952
1442059634,1242,17760768
1442405238,1243,17761024
1442491638,1245,17762560
1443096438,1247,17763840
1444219636,1249,17765120
1444392440,1250,17766144
1444738037,1251,17766656
1445083643,1253,17767936
1445342838,1256,17770496
1445429241,1257,17771520
1445515642,1258,17771776
1445602049,1259,17772288
1445688443,1260,17773312
1445947632,1261,17773568
1446293231,1263,17774080
1446552431,1264,17775104
1446638836,1266,17776384
1446811634,1268,17778432
1447243636,1271,17781504
1447330034,1272,17782528
1447416435,1274,17784576
1447503066,1275,17785088
1447848451,1280,17789952
1448453236,1281,17790208
1448712434,1283,17791488
1449058037,1286,17792512
1449230836,1287,17792768
1449662831,1288,17793792
1449835633,1289,17794816
1449922031,1290,17795328
1450440431,1291,17795584
1451390827,1292,17796096
1451477227,1293,17796352
1451563632,1294,17797376
1451995628,1293,17796864
1452859629,1294,17797888
1452946030,1295,17798912
1453118828,1295,17798912
1453205231,1295,17798912
1453291628,1296,17799168
1453378031,1297,17800192
1453464429,1300,17803520
1453550832,1300,17803520
1453637228,1300,17803520
1453723630,1300,17803520
1453810031,1301,17804544
1454069232,1302,17805056
1454155631,1303,17806080
1454501231,1304,17807104
1454587633,1306,17808640
1454674027,1308,17809152
1454846830,1310,17811456
1455106028,1311,17812480
1455278830,1316,17814528
1455797229,1318,17815040
1455883630,1320,17816064
1455970028,1321,17817088
1456315628,1322,17818112
1456574828,1323,17818368
1456834083,1323,17818624
1456920439,1326,17820928
1457006830,1327,17821184
1457093231,1328,17821440
1457179633,1329,17822464
1457525231,1330,17823488
1457698029,1332,17825024
1457784429,1333,17825280
1458130029,1334,17825536
1458216431,1334,17825792
1458302829,1334,17825792
1458648433,1334,17826560
1458734832,1336,17829632
1458907632,1338,17831680
1459253232,1339,17831936
1459598829,1343,17833984
1459858029,1345,17836032
1459944428,1346,17836544
1460203629,1347,17837568
1460462834,1348,17838592
