DateTime,AddedIPs,RemovedIPs
1439895096,1,0
1439923971,0,1
1439925737,1,0
1439943693,0,1
1439945491,1,0
1439990506,0,1
1441731112,0,1
1443176591,1,0
1443186399,0,1
1444089093,1,0
1444100883,0,1
1445213226,1,0
1447776481,1,0
1448402925,0,1
1448421531,1,0
1448461097,0,1
1448464644,1,0
1448486207,0,1
1448493401,1,0
1448640986,0,1
1448651800,1,0
1448990147,0,1
1448993791,0,1
1448997380,2,0
1449090952,0,1
1449101953,1,0
1449152176,0,1
1452060519,0,1
1453226948,1,0
1456567748,0,1
1456621753,1,0
1460210950,0,1
1471698558,1,0
1471712957,0,1
1471882185,1,0
1471896586,0,1
1472054945,1,0
1472069331,0,1
1472227770,1,0
1472242151,0,1
1472404140,1,0
1472418537,0,1
1472504965,2,0
1472580524,1,0
1472594984,0,1
1472627317,0,1
1472749876,1,0
1472764162,0,1
1472803749,1,0
1472818158,0,1
1472929761,1,0
1472944142,0,1
1472976522,1,0
1472990931,0,1
1473109738,1,0
1473124150,0,1
1473156531,1,0
1473170944,0,1
1473271747,1,0
1473286242,0,1
1473329379,1,0
1473343738,0,1
1473444602,1,0
1473459072,0,1
1473494967,1,0
1473509355,0,1
1473624575,1,0
1473638987,0,1
1473671353,1,0
1473685745,0,1
1473800924,1,0
1473815337,0,1
1473847725,1,0
1473862111,0,1
1473977365,1,0
1473991965,0,1
1474027809,1,0
1474042140,0,1
1474142962,1,0
1474157375,0,1
1474200538,1,0
1474214946,0,1
1474317024,1,0
1474331995,0,1
1474499326,1,0
1474515675,0,1
1474548027,1,0
1474561118,0,1
1474676015,1,0
1474690307,0,1
1474715720,1,0
1474731048,0,1
1474845503,1,0
1474859632,0,1
1474870334,1,0
1474886544,0,1
1475021674,1,0
1475032449,1,0
1475050736,0,1
1476112099,0,2
1478275707,0,1
1483351723,1,0
1483747719,0,1
1483957028,1,0
1484348923,0,1
1485162515,1,0
1485562222,0,1
1489677057,1,0
1489810175,0,1
1499508586,1,0
1500621003,1,0
1501366199,0,0
1501470578,0,2
1501546163,2,0
1501556884,0,2
1501614486,1,0
1504570221,0,1
1505426974,0,0
1505430582,0,0
1509066582,1,0
1512007775,0,1
1519819789,1,0
1521817743,1,0
1522858161,0,1
1524092969,0,0
1524096609,0,0
1524121783,0,0
1526306945,0,0
1527286163,0,0
1527289779,0,0
1527293352,0,0
1527296959,0,0
1527300556,0,0
1527304154,0,0
1527307791,0,0
1527311352,0,0
1527314946,0,0
1527318524,0,0
1527322141,0,0
1527325726,0,0
1527329374,0,0
1527332960,0,0
1527336577,0,0
1527340179,0,0
1527343767,0,0
1527347375,0,0
1527350945,0,0
1527354579,0,0
1527358156,0,0
1527361737,0,0
1527365363,0,0
1527368977,0,0
1527372557,0,0
1527376159,0,0
1527379741,0,0
1527383354,0,0
1527386948,0,0
1527390555,0,0
1527394170,0,0
1527397743,0,0
1527912607,0,0
1527916198,0,0
1527919794,0,0
1527923393,0,0
1527927007,0,0
1527930598,0,0
1527934199,0,0
1527937795,0,0
1527941377,0,0
1527945001,0,0
1527948586,0,0
1527952180,0,0
1527955780,0,0
1527959392,0,0
1527962983,0,0
1527966585,0,0
1527970201,0,0
1527973791,0,0
1527977398,0,0
1527981005,0,0
1527984624,0,0
1527988171,0,0
1527991753,0,0
1527995376,0,0
1527998967,0,0
1528002558,0,0
1528304951,0,0
1528308563,0,0
1528312165,0,0
1528315765,0,0
1528319351,0,0
1528322966,0,0
1528326581,0,0
1528330201,0,0
1530328179,0,1
1530549008,1,0
1534147735,0,0
