DateTime,Entries,UniqueIPs
1512592340,4258,4258
1512623539,169,169
1512709978,6662,6662
1512796632,5977,5977
1512882656,4748,4748
1512969444,5187,5187
1513054933,5952,5952
1513142019,7302,7302
1513228634,8047,8047
1513314757,6329,6329
1513401419,3877,3877
1513487813,3625,3625
1513573967,3184,3184
1513660371,4069,4069
1513746800,4251,4251
1513833186,4437,4437
1513919591,4505,4505
1514006235,4601,4601
1514092599,4031,4031
1514178696,3520,3520
1514265319,4064,4064
1514351760,4385,4385
1514438025,4652,4652
1514524375,4445,4445
1514610777,4440,4440
1514697094,3676,3676
1514783596,3407,3407
1514869992,3378,3378
1514956354,4141,4141
1515042747,4430,4430
1515129207,4259,4259
1515215665,4295,4295
1515302218,3795,3795
1515388389,3455,3455
1515475206,4604,4604
1515561267,4758,4758
1515647611,4753,4753
1515733975,4781,4781
1517651104,4812,4812
1517721263,4139,4139
1517807609,3725,3725
1517894243,4980,4980
1517980386,5222,5222
1518066775,5438,5438
1518153426,4923,4923
1518240023,5087,5087
1518326479,4519,4519
1518412879,3955,3955
1518499030,5115,5115
1518585673,4733,4733
1518671804,5087,5087
1518758222,5256,5256
1518844632,4683,4683
1518930835,4458,4458
1519017433,3939,3939
1519103595,4936,4936
1519189973,5173,5173
1519276624,5766,5766
1519362637,5456,5456
1519449111,5577,5577
1519535824,4882,4882
1519622032,4386,4386
1519708526,6036,6036
1519794827,6073,6073
1519881461,6330,6330
1519967610,5891,5891
1520054260,5505,5505
1520140398,5095,5095
1520226830,4252,4252
1520313203,6061,6061
1520399879,6435,6435
1520486033,6493,6493
1520572420,5678,5678
1520658865,6287,6287
1520745205,5353,5353
1520831872,4645,4645
1520917998,6418,6418
1521004282,6443,6443
1521091053,3698,3698
1521177167,2735,2735
1521263603,2717,2717
1521350017,2435,2435
1521436398,2165,2165
1521522823,2851,2851
1521609173,2996,2996
1521695567,2956,2956
1521781980,2868,2868
1521868374,2835,2835
1521954853,2321,2321
1522041245,1938,1938
1522127841,2653,2653
1522214336,2720,2720
1522300626,2602,2602
1522386843,2529,2529
1522473274,2193,2193
1522559606,2043,2043
1522646002,1899,1899
1522732391,2582,2582
1522818798,2713,2713
1522905185,1869,1869
1522991570,1544,1544
1523078012,1414,1414
1523164369,1256,1256
1523251022,1084,1084
1523337194,1656,1656
1523423577,1660,1660
1523510218,1565,1565
1523596381,1600,1600
1523682769,1551,1551
1523769433,1124,1124
1523855433,1179,1179
1523942246,1578,1578
1524028643,1624,1624
1524114791,1648,1648
1524201352,1576,1576
1524287685,1623,1623
1524374230,1345,1345
1524460234,1139,1139
1524546761,1596,1596
1524633334,1665,1665
1524720027,1546,1546
1524806249,1715,1715
1524892391,1640,1640
1524979089,1260,1260
1525065198,1214,1214
1525151813,1263,1263
1525238006,1172,1172
1525324652,1552,1552
1525411061,1625,1625
1525497203,1574,1574
1525584011,1405,1405
1525669980,1230,1230
1525756621,1683,1683
1525842800,1723,1723
1525929435,1808,1808
1526015571,1867,1867
1526101885,2163,2163
1526188597,1759,1759
1526275326,1624,1624
1526361423,2224,2224
1526447913,2265,2265
1526534025,2043,2043
1526966083,3614,3614
1527052394,2281,2281
1527138790,2960,2960
1527225065,2637,2637
1527291368,2637,2637
1527293569,2637,2637
1527295617,2637,2637
1527298176,2637,2637
1527299624,2637,2637
1527300925,2637,2637
1527303237,2637,2637
1527304650,2637,2637
1527311258,2637,2637
1527312726,2508,2508
1527314178,2508,2508
1527315478,2508,2508
1527316690,2508,2508
1527317575,2508,2508
1527318603,2508,2508
1527319695,2508,2508
1527320973,2508,2508
1527321965,2508,2508
1527322917,2508,2508
1527325330,2508,2508
1527326537,2508,2508
1527327551,2508,2508
1527330181,2508,2508
1527336907,2508,2508
1527338234,2508,2508
1527339174,2508,2508
1527340401,2508,2508
1527341668,2508,2508
1527343557,2508,2508
1527344859,2508,2508
1527346524,2508,2508
1527347877,2508,2508
1527350732,2508,2508
1527352753,2508,2508
1527354297,2508,2508
1527355520,2508,2508
1527356902,2508,2508
1527358197,2508,2508
1527359838,2508,2508
1527361567,2508,2508
1527362804,2508,2508
1527364323,2508,2508
1527365459,2508,2508
1527366779,2508,2508
1527368266,2508,2508
1527369519,2508,2508
1527371147,2508,2508
1527372667,2475,2475
1527373979,2475,2475
1527375553,2508,2508
1527377276,2508,2508
1527379878,2508,2508
1527381339,2508,2508
1527382717,2508,2508
1527383957,2508,2508
1527385538,2508,2508
1527386934,2508,2508
1527388160,2508,2508
1527389644,2508,2508
1527390856,2508,2508
1527392966,2508,2508
1527393939,2508,2508
1527395172,2508,2508
1527396103,2508,2508
1527397025,2508,2508
1527398061,603,603
1527398990,603,603
1527400206,603,603
1527485303,1773,1773
1527571008,2485,2485
1527657153,2311,2311
1527743559,2321,2321
1527829970,2244,2244
1527914432,2244,2244
1527916483,2259,2259
1527918696,2259,2259
1527921154,2259,2259
1527923348,2259,2259
1527924858,2259,2259
1527926045,2259,2259
1527927466,2259,2259
1527928536,2259,2259
1527929789,2259,2259
1527930880,2259,2259
1527931847,2259,2259
1527933090,2259,2259
1527934293,2259,2259
1527935232,2259,2259
1527936877,2259,2259
1527937888,2259,2259
1527939047,2259,2259
1527940250,2259,2259
1527941474,2259,2259
1527942662,2259,2259
1527943809,2259,2259
1527944985,2259,2259
1527946037,2259,2259
1527947230,2259,2259
1527948144,2259,2259
1527949087,2259,2259
1527950182,2259,2259
1527951409,2259,2259
1527952482,2259,2259
1527953739,2259,2259
1527955061,2259,2259
1527956425,2259,2259
1527957588,2259,2259
1527958712,2259,2259
1527959793,2259,2259
1527961213,2259,2259
1527962372,2259,2259
1527963582,2232,2232
1527964792,2232,2232
1527965984,2259,2259
1527967240,2259,2259
1527968437,2259,2259
1527969580,2259,2259
1527970760,2259,2259
1527973861,2259,2259
1527974880,2259,2259
1527976201,2259,2259
1527977305,2259,2259
1527978639,2259,2259
1527979855,2232,2232
1527980849,1942,1942
1527982009,1942,1942
1527983004,2259,2259
1527984254,2259,2259
1527985456,2259,2259
1527986659,2259,2259
1527987802,2259,2259
1527988989,2259,2259
1527990213,2259,2259
1527991417,2259,2259
1527992591,2259,2259
1527993838,2259,2259
1527995080,2259,2259
1527996239,2259,2259
1527997485,2259,2259
1527998632,2259,2259
1527999887,2259,2259
1528001099,2259,2259
1528002244,2259,2259
1528003406,1902,1902
1528004879,1902,1902
1528089159,1668,1668
1528175570,2294,2294
1528261988,2399,2399
1528311731,2399,2399
1528320519,2399,2399
1528324437,2399,2399
1528326797,2399,2399
1528331850,2399,2399
1528348382,2264,2264
1528434821,2289,2289
1528521182,2218,2218
1528607596,1723,1723
1528693968,1561,1561
1528780358,2117,2117
1528866750,2124,2124
1528953213,2232,2232
1529039574,2039,2039
1529125952,1922,1922
1529212620,1703,1703
1529298770,1324,1324
1529385149,2002,2002
1529471545,2164,2164
1529558216,2098,2098
1529644359,2139,2139
1529730650,2059,2059
1529817164,1672,1672
1529903804,1450,1450
1529989962,1519,1519
1530076379,2596,2596
1530162764,2262,2262
1530249179,2475,2475
1530335587,2288,2288
1530421978,1805,1805
1530508372,1568,1568
1530594793,2322,2322
1530681174,2399,2399
1530767567,2602,2602
1530853991,2540,2540
1530940657,2413,2413
1531199588,3427,3427
1531977487,2793,2793
1532063649,2857,2857
1532150252,2580,2580
1532236631,2140,2140
1532322812,1780,1780
1532409160,2494,2494
1532495803,2741,2741
1532581980,2814,2814
1532668358,3046,3046
1532754631,2793,2793
1532841167,2543,2543
1532927565,2246,2246
1533014011,3508,3508
1533100368,3426,3426
1533187085,3440,3440
1533273159,3553,3553
1533359630,3379,3379
1533446225,2623,2623
1533532352,2221,2221
1533618782,3363,3363
1533792285,3381,3381
1533877986,3247,3247
1533964381,3181,3181
1534051043,2717,2717
1534137204,2164,2164
1534223554,3283,3283
1534309975,3759,3759
1534396393,3748,3748
1534482797,3846,3846
1534569392,3689,3689
1534917110,4117,4117
1535001188,3933,3933
1535087593,4650,4650
