DateTime,AddedIPs,RemovedIPs
1512386212,0,1
1512518922,0,1
1513023143,7,0
1513044985,11,0
1513441998,1,0
1513640663,0,18
1513817570,1,0
1514038269,0,1
1514214425,7,0
1514633073,1,0
1514698997,1,1
1514820333,0,6
1515227806,2,1
1515249874,10,0
1515294151,0,1
1515360286,5,0
1515758217,1,0
1515802892,1,0
1515847427,0,11
1515891874,1,0
1515913723,11,0
1515979720,1,0
1516023875,1,0
1516244950,1,0
1516356117,0,1
1516400189,0,1
1516488741,0,1
1516577717,0,1
1516621464,0,1
1516643311,1,0
1516841801,1,1
1516996136,1,0
1517062341,0,11
1517150199,1,0
1517260843,0,1
1517282965,0,7
1517460277,0,1
1517647723,1,0
1517758125,0,1
1517857471,1,0
1518144032,1,0
1518387403,7,0
1518431305,0,1
1518475230,0,1
1518563358,1,0
1518763365,0,1
1518851326,1,0
1518917410,1,0
1518961469,1,0
1518983312,0,7
1519203706,1,0
1519225739,0,1
1519424195,7,0
1519446262,0,1
1519535318,0,1
1519557401,0,1
1519623519,1,0
1519711818,1,0
1519822878,0,1
1520088036,1,0
1520220503,1,1
1520308169,0,1
1520484023,1,0
1520527720,1,0
1520571896,1,0
1520704345,0,8
1520815078,0,1
1520837068,7,0
1521025497,1,0
1521069404,1,0
1521113560,1,0
1521135621,0,1
1521157952,0,1
1521421726,0,7
1521619467,0,1
1521663636,7,1
1521685715,0,1
1521729875,0,1
1522104529,1,0
1522215491,1,0
1522282522,0,9
1522680272,0,1
1523307091,0,0
1524292824,1,0
1524888037,0,1
1526332111,17,0
1526376270,0,1
1526420444,0,2
1526442506,1,0
1526464353,0,1
1526640753,1,0
1526662593,0,7
1526728602,0,1
1526750690,13,0
1526772613,0,2
1526904982,0,2
1527015166,5,0
1527037007,0,1
1527125089,1,0
1527147134,1,0
1527191076,1,0
1527257024,0,1
1527278913,0,0
1527300902,0,0
1527322897,0,0
1527344844,0,0
1527366749,0,0
1527389398,0,0
1527455324,1,0
1527521294,0,11
1527663857,1,0
1527729613,0,1
1527751471,0,1
1527795396,0,1
1527817499,0,1
1527905304,0,0
1527927456,0,0
1527950172,0,0
1527972882,0,0
1527995069,0,0
1528061063,0,8
1528238180,0,1
1528807217,7,0
1528872983,1,0
1528894900,1,0
1529004744,1,0
1529115146,1,0
1529412515,0,7
1529489333,0,2
1529511379,1,0
1529731712,0,1
1529863716,1,0
1529885793,1,0
1529907640,0,1
1529929486,1,0
1529973635,2,0
1529995705,1,0
1530039705,1,0
1530061707,18,0
1530127709,0,1
1530372266,1,0
1530438264,1,0
1530460219,1,1
1530482179,0,1
1530526096,0,1
1530570259,0,2
1530592335,0,1
1530636413,0,1
1530658341,0,11
1530900536,1,0
1531088443,1,2
1531154432,1,0
1531176496,0,7
1531352898,1,0
1531507210,0,1
1531529078,15745,0
1531882843,0,15702
1531904927,20,1
1531927013,1,2
1531949050,0,3
1531970896,1484,2
1531992736,1,1
1532014589,0,2
1532036485,1,3
1532058528,0,4
1532080589,0,2
1532102452,0,4
1532124514,0,1
1532146360,0,2
1532168211,1,1
1532212360,0,1
1532234200,0,1
1532278760,1,0
1532300811,1,3
1532322782,2,1
1532344817,1,1
1532366902,0,1
1532388747,1,0
1532410587,6,4
1532432649,25,2
1532454820,49,0
1532477096,33,1
1532499540,45,0
1532521464,62,0
1532543557,49,1
1532565621,14,1481
1532587759,8,0
1532610050,24,1
1532655609,33,0
1532677470,40,0
1532699323,40,0
1532721390,30,0
1532743484,37,0
1532765560,16,1
1532787608,33,0
1532809462,36,0
1532831580,31,0
1532853629,18,0
1532875549,3,1
1532897393,23,0
1532919699,4,1
1532941703,13,2
1532963566,1,0
1532985635,0,1
1533007689,0,1
1533029536,7,6
1533051392,11,22
1533073467,1,16
1533095542,9,39
1533117445,2,27
1533139462,11,41
1533161547,5,9
1533183643,3,5
1533205697,2,16
1533227554,1,5
1533249621,0,20
1533271473,2,24
1533293562,4,47
1533315660,1,31
1533337704,3,44
1533359578,1,36
1533381891,0,35
1533403942,1,43
1533426022,2,46
1533448133,1,32
1533470626,0,7
1533492740,1,26
1533514581,2,12
1533536459,2,25
1533558502,4,11
1533580375,13,0
1533602426,28,1
1533624611,24,1
1533646577,19,36
1533668761,21,7
1533690993,26,7
1533713052,31,12
1533735149,23,8
1533757329,28,16
1533779302,20,2
1533801379,0,3
1533823269,1,1
1533845566,1,1
1533867617,0,3
1533911704,1,3
1533933620,0,4
1533955697,2,2
1533977775,1,1
1533999621,2,0
1534043325,1,1
1534065402,1,0
1534087469,2,0
1534109315,0,1
1534131405,0,2
1534153476,0,1
1534175319,1,10
1534197385,21,23
1534219476,25,36
1534241324,17,15
1534263370,18,23
1534285215,19,19
1534307232,19,29
1534329163,42,19
1534351465,32,25
1534373320,39,25
1534395391,13,4
1534417472,22,1
1534439550,32,2
1534461553,1529,0
1534505563,10,0
1534527426,21,0
1534549614,11,0
1534571539,4,0
1534593684,18,1
1534615707,16,1
1534637559,22,0
1534659642,28,2
1534681698,26,0
1534703893,28,1
1534725874,29,0
1534747928,10,0
1534769804,26,1
1534791704,20,4
1534813715,9,17
1534835567,22,12
1534857862,10,5
1534879941,27,13
1534902037,23,8
1534924102,15,15
1534945945,19,5
1534968025,9,0
1534989890,0,1
1535011945,10,0
1535034016,23,1
1535055869,15,1501
1535077972,6,1
1535100024,12,0
