DateTime,AddedIPs,RemovedIPs
1526153255,256,0
1526170521,256,0
1526229002,0,256
1526309126,0,0
1526321724,256,0
1526344038,256,0
1526391003,256,0
1526393717,256,0
1526402719,0,512
1526488201,0,256
1526570574,512,0
1526578202,0,256
1526580002,0,256
1526653802,0,256
1526661003,256,0
1526674519,256,0
1526679579,256,0
1526747403,512,512
1526819488,0,512
1526826666,256,0
1526830389,256,0
1526916603,0,256
1526920202,256,0
1527004803,256,0
1527070554,256,0
1527088534,0,1024
1527093940,256,0
1527131770,256,0
1527208204,0,768
1527232968,0,512
1527289203,0,0
1527291002,0,0
1527298203,0,0
1527300003,0,0
1527301432,0,0
1527301803,0,0
1527303603,0,0
1527304530,0,0
1527305403,0,0
1527307203,0,0
1527308124,0,0
1527309903,0,0
1527311730,0,0
1527312602,0,0
1527314403,0,0
1527315920,0,0
1527316202,0,0
1527318931,0,0
1527320731,0,0
1527321604,0,0
1527323402,0,0
1527324321,0,0
1527325204,0,0
1527326630,0,0
1527327002,0,0
1527328803,0,0
1527330456,0,0
1527330603,0,0
1527332403,0,0
1527333330,0,0
1527334203,0,0
1527336004,0,0
1527336936,0,0
1527337803,0,0
1527339604,0,0
1527340524,0,0
1527342328,0,0
1527344125,0,0
1527346803,256,0
1527348603,0,0
1527351316,0,0
1527353120,0,0
1527354922,0,0
1527355802,0,0
1527356725,0,0
1527358521,0,0
1527360323,0,0
1527362120,0,0
1527363003,0,0
1527365724,0,0
1527368403,0,0
1527370025,0,0
1527371120,0,0
1527375604,0,0
1527377402,0,0
1527379203,0,0
1527380128,0,512
1527381003,0,0
1527382803,0,0
1527384189,0,0
1527385527,0,0
1527387331,0,0
1527388202,0,0
1527390004,0,0
1527390933,0,0
1527392725,0,0
1527394533,0,0
1527395404,0,0
1527396327,0,0
1527397204,0,0
1527399003,0,0
1527438653,0,256
1527448519,0,256
1527549789,0,256
1527552931,256,0
1527611404,0,256
1527699606,0,256
1527704844,256,0
1527869720,0,256
1527912004,0,0
1527914728,0,0
1527916909,0,0
1527923733,0,0
1527924604,0,0
1527927794,0,0
1527928203,0,0
1527930004,0,0
1527930933,0,0
1527931803,0,0
1527934530,0,0
1527935403,0,0
1527937205,0,0
1527938127,0,0
1527939004,0,0
1527943526,0,0
1527945327,0,0
1527946204,0,0
1527947129,0,0
1527948005,0,0
1527949377,0,0
1527949803,0,0
1527951604,0,0
1527952902,0,0
1527953403,0,0
1527955205,0,0
1527956650,256,0
1527957916,0,0
1527958805,0,0
1527960167,0,0
1527961518,0,0
1527962403,0,0
1527963719,0,0
1527965116,0,0
1527966004,0,0
1527967633,0,0
1527968721,0,0
1527969605,0,0
1527970517,0,0
1527971403,0,0
1527974124,0,0
1527975003,0,0
1527975924,0,0
1527977719,0,0
1527978604,0,0
1527979520,0,0
1527981323,0,0
1527982204,0,0
1527983118,0,0
1527984006,0,0
1527985804,0,0
1527986703,0,0
1527987604,0,0
1527989404,0,0
1527990320,0,0
1527991204,0,0
1527993004,0,0
1527993921,0,0
1527994804,0,0
1527996603,0,0
1527997520,0,0
1527998404,0,0
1528000203,0,0
1528001128,0,0
1528002004,0,0
1528003803,0,0
1528031728,0,256
1528040714,256,0
1528125320,256,0
1528216069,0,768
1528302604,256,0
1528303518,0,256
1528308004,0,0
1528309675,0,0
1528312989,0,0
1528317928,0,0
1528322403,0,512
1528325103,0,0
1528329608,0,0
1528333205,0,256
1528384960,0,512
1528482155,0,1280
1528492545,256,0
1528499755,0,256
1528505152,0,256
1528558227,512,0
1528565098,0,256
1528572310,0,256
1528664447,512,0
1528736422,256,0
1528738213,0,256
1528748113,0,256
1528833630,0,256
1528843533,256,0
1528869650,256,0
1528912861,256,0
1528954226,256,0
1529040139,256,0
1529071233,256,0
1529085625,0,256
1529087238,0,1536
1529092853,0,256
1529121630,256,0
1529161240,256,256
1529173848,0,256
1529194535,0,256
1529197586,256,0
1529251308,256,0
1529253020,256,256
1529326842,256,0
1529339421,0,256
1529344817,0,256
1529369216,256,0
1529418649,0,256
1529425853,0,256
1529505018,1024,0
1529507725,3584,0
1529511304,0,256
1529512217,256,0
1529519426,256,0
1529533822,0,256
1529601324,512,0
1529705737,0,256
1529746236,256,0
1529767844,0,256
1529866820,256,0
1529868619,0,256
1529878924,256,0
1529936409,0,256
1529938825,256,0
1530045025,256,0
1530136835,0,256
1530204324,256,0
1530210653,256,0
1530279006,256,0
1530286476,1024,0
1530296124,0,256
1530318631,256,0
1530390631,256,0
1530451835,0,256
1530462627,256,0
1530548135,256,512
1530631095,0,256
1530634530,256,0
1530648049,0,256
1530726322,0,256
1530808222,0,256
1530813628,0,256
1530815419,256,0
1530838004,256,0
1530906359,0,256
1530943250,0,256
1530987338,256,0
1531002606,256,0
1531052127,256,0
1531179939,0,256
1531256446,0,256
1531328449,0,256
1531460745,0,256
1531467936,0,256
1531498550,0,256
1531656937,256,0
1531752342,0,1280
1531790131,0,256
1531843231,0,512
1531845099,0,256
1531917940,0,768
1531932325,0,256
1532016934,512,0
1532037634,0,768
1532074544,0,256
1532095254,0,512
1532097039,0,256
1532098861,0,256
1532103327,256,0
1532196943,0,256
1532211340,0,256
1532219439,256,0
1532225734,256,0
1532276131,1024,0
1532277007,256,0
1532361632,0,256
1532393185,256,0
1532441726,512,0
1532446230,256,0
1532448021,0,256
1532467407,0,256
1532530816,0,256
1532566205,768,256
1532625330,256,0
1532634310,256,0
1532644260,256,0
1532651444,256,0
1532700934,512,0
1532720476,1280,0
1532737850,256,0
1532794504,0,256
1532798133,512,256
1532816105,0,256
1532877348,0,768
1532880936,768,0
1532882746,256,0
1532896240,256,0
1532904343,256,0
1532965537,0,768
1533060914,0,256
1533139247,0,256
1533146459,256,0
1533153664,0,256
1533225672,0,256
1533314741,0,256
1533475843,256,0
1533481241,0,256
1533485708,0,256
1533490235,256,0
1533493843,0,256
1533499238,0,256
1533506457,256,0
1533587430,512,0
1533601829,256,0
1533645052,256,0
1533651330,0,256
1533676522,0,256
1533745878,256,0
1533753019,0,1024
1533796261,256,0
1533830437,0,256
1533832680,0,512
1534005753,0,512
1534007741,256,0
1534019996,256,0
1534092365,0,256
1534149908,0,0
1534206644,256,0
1534253490,768,0
1534295773,512,0
1534339832,256,0
1534352459,0,768
1534386603,0,256
1534436103,0,256
1534443334,256,0
1534530635,256,0
1534609815,256,0
1534630503,0,256
1534700393,768,0
1534716903,0,256
1534717829,256,0
1534725029,256,0
1534781564,0,256
1534812098,256,256
1534859122,256,0
1534866303,0,768
1534869131,0,256
1534890366,0,256
1534894202,0,256
1534917640,256,0
1534951817,512,0
1534954653,512,0
1534984233,0,256
1535032828,0,1024
1535048104,0,256
1535056232,256,0
