DateTime,AddedIPs,RemovedIPs
1533403823,1,0
1533404128,2,0
1533405026,1,0
1533405627,1,0
1533405929,2,0
1533406528,1,0
1533407422,1,0
1533408030,1,0
1533408929,3,0
1533410728,1,0
1533411024,1,0
1533411926,2,0
1533412223,1,0
1533412823,1,0
1533413726,1,0
1533414023,1,0
1533414623,4,0
1533415228,2,1
1533415831,1,0
1533416432,1,0
1533417028,2,0
1533417628,2,0
1533418529,1,0
1533418827,1,0
1533419429,1,0
1533420026,2,0
1533421230,3,0
1533421831,1,0
1533422128,2,0
1533423623,1,0
1533424823,1,0
1533427225,1,0
1533427830,2,0
1533428427,1,0
1533428730,1,0
1533429030,2,0
1533429628,3,0
1533429929,2,0
1533430231,3,0
1533432031,4,0
1533432327,2,0
1533432629,1,0
1533432931,1,0
1533433531,1,0
1533434430,1,0
1533434730,1,0
1533435030,1,0
1533435330,1,0
1533436229,2,0
1533436527,1,0
1533437126,1,0
1533437425,1,0
1533437731,2,0
1533438023,2,0
1533438322,1,0
1533438628,2,0
1533439528,2,0
1533439830,2,0
1533440129,1,0
1533441628,3,0
1533442227,3,0
1533444324,1,0
1533444922,1,0
1533445224,1,0
1533447024,4,0
1533447626,1,0
1533447922,1,0
1533448522,1,0
1533449123,2,0
1533449730,1,0
1533450324,1,0
1533450921,1,0
1533451222,3,0
1533451825,2,0
1533452427,1,0
1533453032,3,0
1533453328,1,0
1533453622,3,0
1533454828,2,0
1533455725,1,0
1533456627,2,0
1533456925,2,0
1533457227,2,0
1533459629,2,0
1533459931,1,0
1533460531,1,0
1533460830,1,0
1533461431,2,0
1533462031,1,0
1533463234,1,0
1533465328,1,0
1533465629,2,0
1533466229,2,0
1533466825,1,0
1533467129,2,0
1533467428,1,0
1533467726,1,0
1533469225,1,0
1533469822,1,0
1533470431,3,0
1533470731,1,0
1533471328,1,0
1533471631,2,0
1533472231,1,0
1533472830,2,0
1533473423,1,0
1533474030,2,0
1533474627,1,0
1533475231,2,0
1533475530,1,0
1533475831,2,0
1533476431,1,0
1533476724,1,0
1533477631,2,0
1533478831,1,0
1533479130,1,0
1533480330,1,0
1533481230,3,0
1533482425,1,0
1533483028,4,0
1533483326,1,0
1533483626,1,0
1533484231,1,0
1533484528,1,0
1533484826,1,0
1533485129,2,0
1533485431,1,0
1533485728,3,0
1533486931,1,0
1533487231,1,0
1533487827,1,0
1533488432,1,0
1533488731,1,0
1533489331,3,0
1533489931,2,0
1533490231,2,0
1533490831,1,0
1533492630,4,0
1533492930,1,0
1533493231,1,0
1533493831,2,0
1533494131,1,0
1533494428,1,0
1533494730,3,0
1533495025,1,0
1533495631,3,0
1533495929,1,0
1533496825,1,0
1533497424,3,0
1533498021,1,0
1533498329,3,0
1533498631,1,0
1533498930,1,0
1533499227,1,0
1533499528,1,0
1533500129,1,0
1533500428,2,0
1533500727,2,0
1533501329,2,0
1533502827,1,0
1533503431,1,0
1533504331,4,0
1533504633,1,0
1533506131,1,0
1533507031,1,0
1533507628,1,0
1533509132,2,0
1533509432,2,0
1533510027,1,0
1533510331,1,0
1533510924,9,0
1533511231,2,0
1533511825,2,0
1533512131,2,0
1533512429,1,0
1533513030,2,0
1533513331,1,0
1533513632,2,0
1533514230,46,0
1533514529,3,0
1533514826,3,0
1533515132,1,0
1533516031,1,0
1533516631,1,0
1533517828,1,0
1533518130,1,0
1533518732,1,0
1533519031,1,0
1533520526,2,0
1533520832,3,0
1533521730,1,0
