DateTime,AddedIPs,RemovedIPs
1533713673,0,1
1533714988,2,0
1533716923,1,0
1533718232,3,0
1533719448,0,1
1533720929,3,0
1533722143,7,0
1533723338,1,0
1533724991,7,0
1533726341,2,0
1533727721,3,0
1533731444,1,0
1533733002,1,0
1533734914,3,0
1533736531,6,0
1533737742,10,0
1533738928,1,0
1533740739,7,0
1533742126,3,0
1533743433,1,6
1533744642,1,0
1533745848,0,1
1533747334,2,0
1533748539,2,0
1533749322,3,0
1533752066,0,1
1533753329,1,0
1533755666,0,1
1533756929,1,0
1533758137,8,0
1533760111,1,0
1533761790,1,4
1533763719,4,1
1533765039,1,10
1533766245,0,35
1533769523,12,25
1533771031,2,40
1533771754,3,0
1533773378,13,1
1533773669,6,0
1533774515,2,0
1533776741,1,5
1533778871,2,7
1533779794,1,0
1533780873,0,1
1533782132,3,1
1533783400,1,0
1533784480,2,4
1533786158,2,1
1533788925,2,0
1533789749,1,0
1533791686,2,2
1533793234,2,0
1533795267,1,0
1533804932,2,1
1533806074,2,0
1533807663,1,0
1533811238,2,0
1533812736,2,1
1533815724,1,1
1533818391,0,1
1533822160,1,0
1533823839,1,1
1533828928,0,7
1533831267,0,1
1533833806,0,1
1533836556,0,2
1533837395,1,1
1533838483,0,1
1533840147,0,3
1533845668,0,1
1533847101,2,0
1533848754,0,3
1533850957,1,12
1533852883,0,108
1533853728,1,0
1533855390,0,51
1533856487,0,14
1533857733,0,47
1533858987,0,2
1533861643,1,15
1533863674,1,0
1533864941,0,10
1533866141,6,0
1533867282,0,1
1533868955,1,3
1533870348,0,2
1533873389,1,1
1533875316,2,0
1533876998,1,0
1533878069,0,3
1533879346,0,1
1533883354,0,2
1533885336,0,1
1533886530,0,1
1533894988,0,3
1533896924,0,2
1533902187,0,1
1533904120,2,0
1533905789,0,3
1533906944,0,1
1533907717,1,0
1533910467,1,0
1533912159,0,2
1533914079,0,1
1533914920,1,0
1533915754,0,2
1533916966,1,0
1533920202,0,1
1533926548,2,1
1533928537,0,1
1533929743,6,0
1533930934,1,0
1533936938,0,40
1533939283,0,86
1533941797,0,232
1533942880,0,176
1533944098,1,114
1533945352,0,1
1533946543,0,1
1533948044,0,2
1533948994,0,1
1533950139,0,3
1533951755,1,4
1533953682,0,3
1533954527,1,0
1533956193,0,3
1533957343,0,1
1533958960,0,2
1533960640,1,1
1533962559,0,6
1533963937,0,2
1533974129,0,1
1533976110,0,1
1533976964,0,3
1533978881,3,0
1533980549,0,4
1533984161,0,2
1533985509,1,0
1533992198,0,1
1533994509,0,2
1534001130,1,0
1534002988,0,3
1534004190,1,0
1534007666,1,0
1534008511,1,0
1534011341,1,0
1534012465,0,2
1534014338,1,0
1534016548,0,2
1534023645,0,1
1534025678,2,0
1534027284,1,0
1534030123,1,0
1534031274,0,1
1534031793,1,0
1534032939,2,0
1534035941,0,6
1534042992,0,1
1534047347,0,2
1534059333,1,0
1534070562,1,0
1534074148,0,1
1534077760,0,1
1534081347,0,1
1534085707,1,0
1534086902,0,1
1534089388,0,1
1534090546,1,0
1534091760,0,1
1534095331,1,0
1534097669,0,1
1534100732,0,7
1534102242,2,1
1534106550,1,0
1534110147,1,1
1534113358,0,1
1534115152,0,1
1534122464,0,1
1534125406,0,1
1534126481,1,0
1534128236,6,0
1534131791,0,1
1534137345,1,0
1534140867,4,0
1534148068,0,3
1534151139,1,0
1534155042,0,1
1534161397,2,0
1534164071,0,1
1534166928,1,0
1534169438,0,1
1534172195,0,1
1534174538,0,1
1534178547,0,1
1534182077,0,2
1534196547,0,2
1534198241,1,1
1534200078,1,1
1534203349,1,4
1534208598,1,0
1534210123,1,0
1534211259,0,1
1534220070,1,0
1534222596,1,0
1534229436,1,0
1534230638,0,1
1534236162,1,0
1534236998,1,0
1534239675,1,0
1534251422,1,0
1534257759,1,0
1534259667,2,0
1534262195,0,1
1534266880,2,2
1534272147,0,2
1534274140,1,0
1534275756,2,0
1534277434,0,1
1534279286,0,1
1534284881,2,0
1534287941,1,0
1534288469,1,0
1534292913,3,0
1534294235,1,0
1534298614,0,6
1534301438,0,1
1534302878,1,0
1534303715,2,0
1534306488,1,0
1534309534,2,0
1534311309,3,0
1534313742,1,0
1534322478,0,1
1534329756,1,1
1534331740,0,1
1534335275,1,0
1534336841,0,1
1534342479,1,0
1534344944,1,0
1534346911,1,0
1534347755,0,5
1534351241,1,0
1534352743,2,0
1534354878,1,0
